115113518517851, Blueprint: the Gatech Yearbook
123516484374549, Georgia Tech Office of Information Technology - OIT
149942951716321, International Sports Properties
241910599177418, Georgia Tech Geosystems Engineering
223859880979916, College Democrats of Georgia Tech
141181849321422, Climate and Energy Policy Laboratory at Georgia Tech
115930181788576, Russ Chandler Stadium
140244929345219, For The Kids at Georgia Tech
152791474747653, COA
418737098266786, O.A.K-free hand drawn caps
112583538814715, Bookhouse Group, Inc.
126601360726973, Baptist Collegic Ministries At Georgia Tech
8625533315, Georgia Tech Conference Services
168346013179307, Carter Mike
624365137610033, College of Architecture Library, Georgia Tech
159156680771211, Schools Adamsville Elementary School
66190303054, Georgia Tech Dining Services
115611371831510, Tork Interactive
153668212899, Uptown Comedy Corner
116580775068169, Atlantic Sheet Metal Corp
167371089942703, V4 Consulting
209493459091437, Dancer Elite
331068521348, Georgia Tech's Barcelona Summer Program
168002013212235, SunTrust Bank
149351583357, Atlanta Contemporary
403480856508318, Centerpoint Direct
659959514029567, Georgia Tech Student Media
157631740935319, Alcon Entertainment
234513059917004, The Salvation Army - Atlanta, GA  ARC
124009861014673, Southern Railway North Avenue Yards Historic District
162523350443870, Coca-Cola Ko Lab
128168673949540, PGA FedEx Cup Atlanta GA
225133337533952, Aquino Institute Of The Martial Arts Tae Sho Do
117270171625561, Camp Twin Lakes
140810319290024, Folk Residence Hall
165524640158895, The Somber Reptile
119483281418514, **** LA VIDA ****
142547409233086, The National Pan-Hellenic Council at Georgia Tech
756162894493581, McDonald's
102978596435826, Adcock & Associates
302183253274432, Hustle Vision
495837537138178, OMED: Educational Services
100870366624934, Thumbs Up Diner
112282822116265, Ivan Allen College of Liberal Arts
264967567411, a|i|m Marketing Solutions
464294340283301, Klaus 1443
155238324511821, Taylor Letter Service
161070457251180, Covendis Technologies
159753737388638, Theta XI Frat
157085250997765, Sommers & Sommers
212352365451538, Jesse Spade
164296770256052, Big League Broadcastihg-Gt Football Stadium
126434694077743, Price & Sons Grading & Demolition
161971057166264, The Zenner Group
103117903062409, Cloudman Hall
150922671599682, Junior's Grill
171799376163503, Seattles Best
400662203382718, Beta Theta Pi - Georgia Tech
107066072708672, Means Street
372331689553721, Buckhead Thread
172182676201842, Quiznos - Georgia Tech Food Court
616951215019379, Hotel Roxy
624384020996634, Thelma's Kitchen
164076266953607, All Locksmith Services
684139075020599, GTiPhone
348411335544, Wesley Foundation at Georgia Tech
205730789465890, Motoretta Atlanta/ Vespa Of Atlanta
105567649477081, Coca-Cola Enterprises
118024211592047, Wawa Wing
120618111328868, Atlanta Bass Gallery
296109413930333, Georgia Institute of Technology School of Computational Science & Engineering
115035378575363, Spoon Restaurant
118866116969, Canine PhD
1431991890408805, Points of Light Civic Accelerator
221033287930022, AskRemco
160091110823048, Smarti photography
344728875621012, The Colony Bistro & Lab Cafe
241385692622481, Chi Phi Fraternity at Georgia Tech
592586847527069, Couchella Music & Arts Festival
108003409543984, Labrador Regulated Info
104194909716355, Snapp Fitness
107404749289270, Georgia Institute of Technology School of Computer Science
158231647533268, Executive Priority Limousine Service
105798642787745, Marcus Nanotechnology Building
23099245131, Jordan Lab
712341058905836, Walk n' Roll for Spina Bifida Georgia
138649549510175, Couch Building
105165319549424, Tccc
187647671286370, The One way aka 5th ward
193127317422926, Georgia Tech African Student Association
180558332916, Georgia Tech Archives
417257208309231, Pi Tau Sigma - Georgia Tech Nu
151468361725073, Georgia Tech RUF
169864896362377, Wired Retail Network
99364096466, RMR4 International.info  LLC
162140373803656, Pallas Technology
144104068956765, Fitten
123743377636770, Hampton Inn Atlanta Georgia Tech
163406510343834, Famous Hair
312668372246054, Big Boy Truck Parts
112105398844338, Coca-Cola Headquarters
135264373189423, Office Works
134529953262985, Independent Media Artists of Georgia Etc
110361305686344, Bobby Dodd Stadium at Historic Grant Field
62565591894, GT HPV Vaccine Campaign
14948822900, Engineer's Bookstore
389902721074148, IDSA Georgia Tech
250156511704815, HandsOn Tech Atlanta
165991046761197, Isp Sports Inc
259175313212, "Lost in the Stacks" on WREK Radio
674244579349727, Food Processing Technology Building
211408658879699, Pi Kappa Alpha - Georgia Tech
112688222120366, Band Table
145628525486175, Agricultural Technology Research Program - GTRI
402278413244985, Delia's Chicken Sausage Stand- Westside
1055873604429979, Alpha Iota Delta of Chi Psi Advisory Board
162611880429074, AAMCO Transmissions
148287621880684, Access
378644735500769, Ramblin' Rocket Club
134517549932890, Unboundary
274156666019187, Stilettos
385095941682319, YMCA
182543628451886, ACE Mentor Program Atlanta
305239589636397, Burger Joes
115734038447368, Utopia Martini and Tapas Lounge
113110665438897, Acoustix Jazz (Restaurant & Lounge)
145541045487269, Bunger-Henry Building
574998639292829, An Evening With Trent Shelton
162079773912695, Event Planning 241
117478708591961, Georgia Tech Univ Facility Dept
100408646975301, Triple A Locksmith
169111553106344, Altea Therapeutics-Atl
112111922186540, Cox Radio Interactive
